url,home_team,away_team,datetime,home_team_manager,away_team_manager,stadium,attendance
https://fbref.com/en/matches/09e2d584/Maccabi-Tel-Aviv-Alashkert-September-14-2021-Europa-Conference-League,Maccabi Tel Aviv,Alashkert,1631629800,Patrick van Leeuwen,Aleksandr Grigoryan,"Bloomfield Stadium, Tel Aviv",6934
https://fbref.com/en/matches/89aa8ced/Maccabi-Haifa-Feyenoord-September-14-2021-Europa-Conference-League,Maccabi Haifa,Feyenoord,1631629800,Bachar Bakhar,Arne Slot,"Sammy Ofer Stadium, Haifa",15850
https://fbref.com/en/matches/2d701dfe/Slovan-Bratislava-FC-Copenhagen-September-16-2021-Europa-Conference-League,Slovan Bratislava,FC Copenhagen,1631810700,Vladimír Weiss,Jess Thorup,"Štadión Tehelné pole, Bratislava",9833
https://fbref.com/en/matches/591b8b5b/Slavia-Prague-Union-Berlin-September-16-2021-Europa-Conference-League,Slavia Prague,Union Berlin,1631810700,Jindřich Trpišovský,Urs Fischer,"Sinobo Stadium, Praha",15286
https://fbref.com/en/matches/6073e129/Rennes-Tottenham-Hotspur-September-16-2021-Europa-Conference-League,Rennes,Tottenham Hotspur,1631810700,Bruno Génésio,Nuno Espírito Santo,"Roazhon Park, Rennes",22000
https://fbref.com/en/matches/8d1a5ff8/NS-Mura-Vitesse-September-16-2021-Europa-Conference-League,NŠ Mura,Vitesse,1631810700,Ante Šimundža,Thomas Letsch,"Mestni Štadion Fazanerija, Murska Sobota",3300
https://fbref.com/en/matches/cc48a4c9/Lincoln-Red-Imps-PAOK-September-16-2021-Europa-Conference-League,Lincoln Red Imps,PAOK,1631810700,Raúl Castillo Pérez,Răzvan Lucescu,"Victoria Stadium, Gibraltar",668
https://fbref.com/en/matches/1436b051/HJK-Helsinki-LASK-September-16-2021-Europa-Conference-League,HJK Helsinki,LASK,1631810700,Toni Koskela,Andreas Wieland,"Telia 5G -areena, Helsinki",3612
https://fbref.com/en/matches/d1df8882/Flora-Gent-September-16-2021-Europa-Conference-League,Flora,Gent,1631810700,Jürgen Henn,Hein Vanhaezebrouck,"A. Le Coq Arena, Tallinn",2666
https://fbref.com/en/matches/9dd5dbac/Qairat-Almaty-AC-Omonia-September-16-2021-Europa-Conference-League,Qaırat Almaty,AC Omonia,1631802600,Kurban Berdyýew,Henning Berg,"Ortalıq Stadion, Almaty",7038
