home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Dundalk,Molde,1603385700,ie IRL,39-027,90,2,2,0,50.0,1.2,8,25,32.0,25,4,60.0,43.8,13,76.9,46.2,19,1,5.3,0,5.0,32f7976d,Gary Rogers,Dundalk,True
Bayer Leverkusen,Nice,1603385700,fi FIN,30-333,90,3,2,1,33.3,1.5,6,18,33.3,55,4,30.9,32.0,4,25.0,34.5,9,0,0.0,0,17.0,ad3389d5,Lukáš Hrádecký,Bayer Leverkusen,True
Napoli,AZ Alkmaar,1603385700,it ITA,23-214,90,2,1,1,50.0,1.1,0,0,,23,4,0.0,17.3,3,0.0,12.0,1,0,0.0,3,29.8,9413b19f,Alex Meret,Napoli,True
PSV Eindhoven,Granada,1603385700,ch SUI,26-138,90,4,2,2,50.0,1.5,4,13,30.8,28,6,21.4,26.8,7,100.0,58.6,14,2,14.3,1,13.3,dc29b608,Yvon Mvogo,PSV Eindhoven,True
Young Boys,Roma,1603385700,ch SUI,25-297,90,2,2,0,0.0,1.6,5,21,23.8,31,5,61.3,40.1,3,66.7,40.7,14,0,0.0,1,27.0,f7b10c66,David von Ballmoos,Young Boys,True
Rijeka,Real Sociedad,1603385700,hr CRO,22-083,90,6,1,5,83.3,1.3,2,17,11.8,14,3,42.9,38.0,15,73.3,52.8,26,2,7.7,0,5.0,cd4959d1,Ivan Nevistić,Rijeka,True
Standard Liège,Rangers,1603385700,be BEL,22-225,90,4,2,2,75.0,1.8,3,9,33.3,24,3,29.2,34.7,8,25.0,25.1,10,1,10.0,2,11.9,79c536d7,Arnaud Bodart,Standard Liège,True
Lech Poznań,Benfica,1603385700,pl POL,28-026,90,6,4,2,50.0,3.9,4,11,36.4,28,6,28.6,33.4,7,42.9,37.6,8,1,12.5,0,5.5,93b95f72,Filip Bednarek,Lech Poznań,True
Rapid Wien,Arsenal,1603385700,at AUT,27-251,90,4,2,2,50.0,1.6,1,10,10.0,13,4,61.5,42.5,9,22.2,25.8,19,0,0.0,0,9.0,387750b7,Richard Strebinger,Rapid Wien,True
CSKA Sofia,CFR Cluj,1603385700,br BRA,29-365,90,3,2,1,66.7,1.9,9,19,47.4,39,3,41.0,34.3,5,60.0,51.4,12,0,0.0,0,14.5,afff46e6,Gustavo Busatto,CSKA Sofia,True
Hapoel Be'er Sheva,Slavia Prague,1603385700,il ISR,34-248,90,7,1,6,85.7,1.7,4,11,36.4,13,2,46.2,38.0,10,50.0,39.4,26,1,3.8,1,9.8,47c7a40c,Ohad Levita,Hapoel Be'er Sheva,True
PAOK,AC Omonia,1603385700,rs SRB,31-191,90,2,1,1,50.0,0.9,3,9,33.3,22,3,27.3,29.0,4,75.0,50.3,4,0,0.0,2,33.5,c7b13c29,Živko Živković,PAOK,True
Celtic,Milan,1603393200,gr GRE,26-145,90,3,3,0,0.0,1.1,1,8,12.5,15,3,33.3,34.9,6,50.0,32.3,5,0,0.0,2,25.0,c2e41cfb,Vasilios Barkas,Celtic,True
Leicester City,Zorya Luhansk,1603393200,dk DEN,33-352,90,2,0,2,100.0,1.1,6,8,75.0,17,2,35.3,35.9,3,66.7,41.7,12,0,0.0,1,22.0,53af52f3,Kasper Schmeichel,Leicester City,True
Tottenham Hotspur,LASK,1603393200,eng ENG,33-186,90,4,0,4,100.0,1.0,8,19,42.1,33,11,48.5,36.2,7,42.9,36.9,23,1,4.3,0,4.0,cb4f24c6,Joe Hart,Tottenham Hotspur,True
Braga,AEK Athens,1603393200,br BRA,28-095,90,3,0,3,100.0,0.8,6,12,50.0,22,5,31.8,34.2,10,50.0,34.4,12,1,8.3,5,22.3,ef3909cd,Matheus,Braga,True
Slovan Liberec,Gent,1603393200,cz CZE,28-038,90,4,0,4,100.0,1.5,10,29,34.5,19,1,89.5,58.8,12,100.0,66.8,23,0,0.0,0,9.3,11f5df14,Filip Nguyen,Slovan Liberec,True
Wolfsberger AC,CSKA Moscow,1603393200,at AUT,33-351,90,4,1,3,75.0,0.6,2,11,18.2,21,2,33.3,38.4,6,66.7,40.7,6,0,0.0,0,11.0,f42e9f3f,Alexander Kofler,Wolfsberger AC,True
Dinamo Zagreb,Feyenoord,1603393200,hr CRO,25-287,90,5,0,4,100.0,1.5,2,11,18.2,25,6,36.0,32.6,5,40.0,39.6,8,0,0.0,1,21.5,58f077c0,Dominik Livaković,Dinamo Zagreb,True
Sparta Prague,Lille,1603393200,cz CZE,29-215,90,5,4,1,20.0,2.5,6,19,31.6,61,3,24.6,29.4,6,66.7,46.2,7,1,14.3,4,22.2,8f1d4155,Milan Heča,Sparta Prague,True
Villarreal,Sivasspor,1603393200,ar ARG,28-155,90,6,3,3,50.0,1.9,4,5,80.0,39,3,7.7,24.2,6,33.3,32.3,18,1,5.6,2,17.4,625c144a,Gerónimo Rulli,Villarreal,True
Hoffenheim,Red Star Belgrade,1603393200,de GER,30-142,90,0,0,0,,0.0,3,5,60.0,27,6,14.8,23.5,7,14.3,29.9,11,1,9.1,1,12.3,47064058,Oliver Baumann,Hoffenheim,True
Ludogorets Razgrad,Antwerp,1603393200,bg BUL,28-327,90,5,2,3,60.0,1.2,8,20,40.0,25,0,44.0,35.6,13,69.2,44.5,13,0,0.0,2,23.0,55bd7d45,Plamen Iliev,Ludogorets Razgrad,True
Maccabi Tel Aviv,Qarabağ Ağdam,1603393200,br BRA,25-186,90,3,0,3,100.0,0.4,9,19,47.4,33,7,48.5,39.8,4,75.0,49.8,8,0,0.0,0,12.0,f94e06da,Daniel,Maccabi Tel Aviv,True
Lille,Celtic,1603994100,fr FRA,25-118,90,3,2,1,33.3,0.9,3,6,50.0,20,2,30.0,29.0,5,0.0,28.0,4,0,0.0,0,,fcb38f57,Mike Maignan,Lille,True
Antwerp,Tottenham Hotspur,1603994100,fr FRA,25-143,90,2,0,2,100.0,0.3,9,24,37.5,39,8,43.6,38.4,9,77.8,56.3,10,3,30.0,2,10.9,7f40333d,Jean Butez,Antwerp,True
Red Star Belgrade,Slovan Liberec,1603994100,ca CAN,33-006,90,2,1,1,50.0,0.9,8,14,57.1,32,4,28.1,30.3,8,62.5,39.4,20,2,10.0,0,8.7,5e8936be,Milan Borjan,Red Star Belgrade,True
Feyenoord,Wolfsberger AC,1603994100,nl NED,22-281,90,5,4,1,80.0,3.2,2,12,16.7,26,5,34.6,34.8,4,75.0,49.8,12,0,0.0,1,21.0,53d93280,Justin Bijlow,Feyenoord,True
Gent,Hoffenheim,1603994100,be BEL,26-266,90,15,4,11,80.0,3.7,6,13,46.2,24,9,37.5,31.8,7,57.1,47.6,16,1,6.3,1,13.5,6fe2aba3,Davy Roef,Gent,True
LASK,Ludogorets Razgrad,1603994100,at AUT,24-271,90,4,3,1,50.0,2.6,7,17,41.2,29,3,48.3,38.8,5,60.0,49.8,4,0,0.0,2,20.3,6fe5c35b,Alexander Schlager,LASK,True
Milan,Sparta Prague,1603994100,ro ROU,34-263,90,0,0,0,,0.0,2,9,22.2,41,5,19.5,25.1,3,33.3,33.0,12,1,8.3,0,7.0,b056e3da,Ciprian Tătărușanu,Milan,True
Zorya Luhansk,Braga,1603994100,ba BIH,24-332,90,5,2,3,60.0,2.3,4,8,50.0,28,4,28.6,31.9,1,0.0,29.0,6,0,0.0,0,17.0,f038585f,Nikola Vasilj,Zorya Luhansk,True
AEK Athens,Leicester City,1603994100,gr GRE,27-117,90,6,2,4,83.3,2.0,3,6,50.0,13,5,23.1,31.1,8,37.5,33.6,9,0,0.0,0,5.5,705f5269,Panagiotis Tsintotas,AEK Athens,True
Rangers,Lech Poznań,1604001600,sct SCO,38-272,90,0,0,0,,0.0,4,10,40.0,19,4,26.3,27.3,14,35.7,33.9,14,0,0.0,2,26.0,f3a97d02,Allan McGregor,Rangers,True
Benfica,Standard Liège,1604001600,gr GRE,26-186,90,1,0,1,100.0,0.1,0,5,0.0,24,8,20.8,28.0,7,0.0,18.9,9,1,11.1,4,23.4,03df04ff,Odisseas Vlachodimos,Benfica,True
Arsenal,Dundalk,1604001600,is ISL,25-254,90,1,0,1,100.0,0.5,1,2,50.0,14,4,7.1,28.6,2,50.0,39.0,6,2,33.3,2,19.0,8fa8f8d2,Rúnar Alex Rúnarsson,Arsenal,True
Sivasspor,Maccabi Tel Aviv,1603994100,ml MLI,30-256,90,3,2,1,66.7,1.5,10,22,45.5,29,4,58.6,44.8,6,83.3,60.2,4,2,50.0,2,19.4,cfe852d8,Mamadou Samassa,Sivasspor,True
CSKA Moscow,Dinamo Zagreb,1603994100,ru RUS,34-204,90,1,0,1,100.0,0.4,3,12,25.0,15,4,33.3,36.9,7,100.0,61.7,11,0,0.0,2,16.6,42ec696a,Igor Akinfeev,CSKA Moscow,True
Slavia Prague,Bayer Leverkusen,1604001600,cz CZE,26-012,90,1,0,1,100.0,0.6,5,15,33.3,37,7,29.7,32.3,8,50.0,39.3,10,0,0.0,2,19.7,179d2851,Ondřej Kolář,Slavia Prague,True
Roma,CSKA Sofia,1604001600,es ESP,25-321,90,4,0,4,100.0,0.7,3,4,75.0,18,7,16.7,24.0,6,16.7,27.7,10,0,0.0,0,,20b9f052,Pau López,Roma,True
Granada,PAOK,1604001600,pt POR,26-265,90,2,0,2,100.0,0.2,4,12,33.3,20,4,40.0,36.2,6,66.7,45.0,14,0,0.0,1,28.0,ea83bfa6,Rui Silva,Granada,True
Nice,Hapoel Be'er Sheva,1604001600,ar ARG,27-284,90,2,0,2,100.0,0.9,2,7,28.6,26,0,19.2,23.8,7,28.6,27.3,9,0,0.0,0,7.5,8a2248b4,Walter Benítez,Nice,True
Real Sociedad,Napoli,1604001600,es ESP,25-219,90,1,1,0,0.0,0.0,2,3,66.7,27,0,11.1,24.0,6,0.0,17.0,4,0,0.0,0,,374ee424,Álex Remiro,Real Sociedad,True
Molde,Rapid Wien,1604001600,se SWE,27-097,90,2,0,2,100.0,0.2,4,7,57.1,14,5,21.4,28.5,6,66.7,49.2,12,1,8.3,0,5.7,4d6a842d,Andreas Linde,Molde,True
AZ Alkmaar,Rijeka,1604001600,nl NED,29-233,90,2,1,1,50.0,1.4,5,20,25.0,35,5,45.7,37.6,7,57.1,40.1,17,0,0.0,3,21.5,3d214e5f,Marco Bizot,AZ Alkmaar,True
Qarabağ Ağdam,Villarreal,1603994100,az AZE,26-139,90,10,3,7,80.0,3.1,3,8,37.5,39,12,17.9,27.9,4,25.0,25.8,19,1,5.3,5,28.6,595ccab1,Məhəmmədəliyev Şahruddin Maqomedoviç,Qarabağ Ağdam,True
CFR Cluj,Young Boys,1604001600,ro ROU,32-222,90,4,1,3,75.0,1.1,9,30,30.0,20,0,100.0,61.7,10,100.0,64.3,28,2,7.1,0,6.0,60a6fe9c,Cristian Bălgrădean,CFR Cluj,True
AC Omonia,PSV Eindhoven,1604001600,br BRA,32-243,90,4,2,2,50.0,2.1,4,21,19.0,17,5,58.8,44.7,14,78.6,55.6,18,1,5.6,0,5.0,54bb5c3f,Fabiano,AC Omonia,True
Benfica,Rangers,1604598900,gr GRE,26-193,90,4,3,2,25.0,1.3,2,8,25.0,24,8,16.7,29.7,9,44.4,41.8,19,0,0.0,2,23.3,03df04ff,Odisseas Vlachodimos,Benfica,True
Slavia Prague,Nice,1604598900,cz CZE,26-019,90,4,2,2,50.0,1.8,14,22,63.6,42,2,47.6,38.5,3,66.7,38.0,4,1,25.0,2,18.3,179d2851,Ondřej Kolář,Slavia Prague,True
Rijeka,Napoli,1604598900,hr CRO,22-097,90,5,2,4,60.0,1.6,5,15,33.3,9,1,33.3,36.0,14,85.7,56.4,26,0,0.0,1,13.5,cd4959d1,Ivan Nevistić,Rijeka,True
Real Sociedad,AZ Alkmaar,1604598900,es ESP,36-217,90,1,0,1,100.0,0.1,3,7,42.9,32,2,12.5,22.5,3,100.0,55.0,4,1,25.0,1,9.2,011d8c56,Miguel Ángel Moyá,Real Sociedad,True
Rapid Wien,Dundalk,1604598900,at AUT,23-240,90,3,3,0,66.7,2.4,4,10,40.0,28,2,32.1,29.3,7,14.3,27.6,11,1,9.1,2,19.2,05bffdb1,Paul Gartler,Rapid Wien,True
Roma,CFR Cluj,1604598900,es ESP,25-328,90,4,0,4,100.0,0.8,6,10,60.0,30,5,26.7,29.8,6,33.3,35.3,9,1,11.1,0,9.5,20b9f052,Pau López,Roma,True
Lech Poznań,Standard Liège,1604598900,pl POL,28-040,90,2,1,1,50.0,1.1,4,11,36.4,26,2,26.9,30.8,6,66.7,46.3,11,0,0.0,0,14.0,93b95f72,Filip Bednarek,Lech Poznań,True
PAOK,PSV Eindhoven,1604598900,rs SRB,31-205,90,2,1,1,100.0,1.1,5,14,35.7,28,5,42.9,36.2,6,33.3,34.5,19,1,5.3,1,13.3,c7b13c29,Živko Živković,PAOK,True
Ludogorets Razgrad,Tottenham Hotspur,1604598900,bg BUL,28-341,90,9,3,6,66.7,3.5,6,17,35.3,32,10,40.6,35.1,10,40.0,34.8,12,2,16.7,0,7.0,55bd7d45,Plamen Iliev,Ludogorets Razgrad,True
Hapoel Be'er Sheva,Bayer Leverkusen,1604598900,il ISR,34-262,90,8,4,5,50.0,3.0,5,11,45.5,21,6,28.6,33.5,12,41.7,33.3,18,1,5.6,2,14.0,47c7a40c,Ohad Levita,Hapoel Be'er Sheva,True
AC Omonia,Granada,1604598900,br BRA,32-250,90,6,2,4,66.7,0.8,5,19,26.3,26,8,53.8,38.9,7,71.4,47.9,12,0,0.0,2,17.0,54bb5c3f,Fabiano,AC Omonia,True
Arsenal,Molde,1604606400,de GER,28-246,90,4,1,3,75.0,0.6,1,4,25.0,27,4,14.8,22.9,0,,,13,0,0.0,0,,2628fd2b,Bernd Leno,Arsenal,True
Leicester City,Braga,1604606400,dk DEN,34-000,90,1,0,1,100.0,0.1,1,7,14.3,38,6,18.4,30.0,4,0.0,14.5,7,1,14.3,0,8.0,53af52f3,Kasper Schmeichel,Leicester City,True
Celtic,Sparta Prague,1604606400,sct SCO,28-349,90,8,4,4,50.0,3.2,7,15,46.7,32,5,37.5,34.2,3,100.0,63.7,12,0,0.0,0,,56901a62,Scott Bain,Celtic,True
