home_team,away_team,datetime,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,player_id,player,squad,start
Sampdoria,Atalanta,1660408200,it ITA,25-207,90,3,2,1,33.3,1.7,3,12,25.0,41,7,26.8,36.1,4,25.0,36.5,7,1,14.3,0,4.3,649b01d8,Emil Audero,Sampdoria,True
Milan,Udinese,1660408200,fr FRA,27-041,90,4,2,2,50.0,0.4,4,6,66.7,25,5,24.0,30.2,2,0.0,21.0,10,1,10.0,0,8.0,fcb38f57,Mike Maignan,Milan,True
Monza,Torino,1660416300,it ITA,25-017,90,6,2,4,66.7,4.0,4,16,25.0,71,10,22.5,28.1,4,0.0,23.3,11,3,27.3,1,13.5,4e0c8d66,Michele Di Gregorio,Monza,True
Lecce,Internazionale,1660416300,it ITA,27-123,90,9,2,7,77.8,1.8,4,19,21.1,25,8,48.0,38.2,7,100.0,65.0,25,1,4.0,0,7.0,9f5a610b,Wladimiro Falcone,Lecce,True
Fiorentina,Cremonese,1660494600,it ITA,27-149,90,4,2,2,50.0,1.2,7,14,50.0,42,6,31.0,32.9,3,33.3,33.0,11,1,9.1,0,6.0,f0f7f62f,Pierluigi Gollini,Fiorentina,True
Lazio,Bologna,1660494600,pt POR,23-221,5,,,,,,2,3,66.7,,1,,,,,,,,,,19.0,3318286e,Luís Maximiano,Lazio,True
Lazio,Bologna,1660494600,it ITA,28-150,83,3,1,2,100.0,1.4,6,12,50.0,25,5,32.0,33.2,5,80.0,63.0,5,0,0.0,0,18.0,277da414,Ivan Provedel,Lazio,True
Spezia,Empoli,1660502700,pl POL,24-360,90,5,0,5,100.0,0.3,7,15,46.7,24,3,45.8,36.5,5,80.0,57.6,18,1,5.6,1,9.7,085e71a7,Bartłomiej Drągowski,Spezia,True
Salernitana,Roma,1660502700,it ITA,31-098,90,4,1,3,75.0,1.9,5,10,50.0,20,6,25.0,28.0,11,45.5,39.5,5,1,20.0,2,16.8,343f753a,Luigi Sepe,Salernitana,True
Hellas Verona,Napoli,1660581000,it ITA,26-176,90,8,5,3,37.5,2.6,9,17,52.9,20,0,75.0,48.1,10,20.0,23.2,15,0,0.0,3,22.3,c1d95617,Lorenzo Montipò,Hellas Verona,True
Juventus,Sassuolo,1660589100,it ITA,29-278,90,7,0,7,100.0,1.4,3,10,30.0,39,8,23.1,28.2,3,33.3,35.0,13,0,0.0,0,10.7,4c62d0c8,Mattia Perin,Juventus,True
Torino,Lazio,1661013000,rs SRB,25-181,90,2,0,2,100.0,0.2,7,24,29.2,57,5,35.1,35.8,4,100.0,75.3,7,2,28.6,2,12.0,9fa26bc2,Vanja Milinković-Savić,Torino,True
Udinese,Salernitana,1661013000,it ITA,31-171,90,6,0,6,100.0,2.3,8,16,50.0,17,2,52.9,39.9,10,70.0,50.2,19,0,0.0,0,,0d422df7,Marco Silvestri,Udinese,True
Internazionale,Spezia,1661021100,si SVN,38-037,90,0,0,0,,0.0,0,1,0.0,33,4,3.0,25.3,7,0.0,24.0,8,1,12.5,0,9.0,74419746,Samir Handanović,Internazionale,True
Sassuolo,Lecce,1661021100,it ITA,35-205,90,1,0,1,100.0,0.1,10,12,83.3,43,5,23.3,31.1,9,22.2,27.1,16,4,25.0,0,4.0,8cabdc1e,Andrea Consigli,Sassuolo,True
Empoli,Fiorentina,1661099400,it ITA,25-318,90,2,0,2,100.0,0.4,7,23,30.4,34,0,47.1,38.0,9,77.8,58.9,23,1,4.3,1,20.5,77d6fd4d,Guglielmo Vicario,Empoli,True
Napoli,Monza,1661099400,it ITA,25-152,90,1,0,1,100.0,0.1,0,0,,17,4,0.0,24.3,4,0.0,20.5,14,1,7.1,0,5.0,9413b19f,Alex Meret,Napoli,True
Bologna,Hellas Verona,1661107500,pl POL,31-108,90,3,1,2,66.7,0.8,10,21,47.6,29,3,58.6,40.8,9,44.4,36.1,21,3,14.3,3,17.1,ab4449d6,Łukasz Skorupski,Bologna,True
Atalanta,Milan,1661107500,ar ARG,28-107,90,7,1,6,85.7,1.2,8,16,50.0,30,15,30.0,32.5,12,58.3,46.6,14,0,0.0,2,21.0,a111cf41,Juan Musso,Atalanta,True
Roma,Cremonese,1661185800,pt POR,34-188,90,3,0,3,100.0,0.2,8,15,53.3,20,3,45.0,37.5,14,42.9,42.1,22,2,9.1,1,12.3,79b0d6a0,Rui Patrício,Roma,True
Sampdoria,Juventus,1661193900,it ITA,25-216,90,4,0,4,100.0,0.6,4,12,33.3,32,7,21.9,27.8,9,55.6,44.0,11,0,0.0,1,20.7,649b01d8,Emil Audero,Sampdoria,True
Monza,Udinese,1661531400,it ITA,25-030,90,4,2,2,50.0,1.8,4,7,57.1,26,6,23.1,31.7,4,25.0,30.8,8,0,0.0,0,,4e0c8d66,Michele Di Gregorio,Monza,True
Lazio,Internazionale,1661539500,it ITA,28-162,90,7,1,6,85.7,1.6,7,11,63.6,29,6,24.1,32.0,8,50.0,40.0,20,0,0.0,2,14.5,277da414,Ivan Provedel,Lazio,True
Juventus,Roma,1661617800,pl POL,32-131,90,4,1,3,75.0,1.4,2,5,40.0,21,4,19.0,29.1,2,50.0,46.0,9,0,0.0,3,22.6,01b8a2b2,Wojciech Szczęsny,Juventus,True
