home_team,away_team,datetime,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,player_id,player,squad,start
Maccabi Tel Aviv,Alashkert,1631629800,9,hr CRO,FW,26-069,79,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,2,0,269b4638,Stipe Perica,Maccabi Tel Aviv,True
Maccabi Tel Aviv,Alashkert,1631629800,20,il ISR,FW,23-161,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,66b8033d,Osama Khalaila,Maccabi Tel Aviv,False
Maccabi Tel Aviv,Alashkert,1631629800,16,il ISR,LW,24-021,67,4,4,0,2,2,2,2,100.0,0,2,0,2,1,5,0,0,6546d98e,Gavriel Kanichowsky,Maccabi Tel Aviv,True
Maccabi Tel Aviv,Alashkert,1631629800,17,cw CUW,RW,28-360,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,42c94967,Brandley Kuwas,Maccabi Tel Aviv,False
Maccabi Tel Aviv,Alashkert,1631629800,39,pa PAN,RW,21-205,45,1,1,0,1,0,0,0,,0,1,0,1,1,2,0,0,9d739099,Eduardo Guerrero,Maccabi Tel Aviv,True
Maccabi Tel Aviv,Alashkert,1631629800,7,il ISR,"LW,RW",25-033,45,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1d25929b,Matan Hozez,Maccabi Tel Aviv,False
Maccabi Tel Aviv,Alashkert,1631629800,10,il ISR,AM,26-056,45,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0,82220b03,Dan Bitton,Maccabi Tel Aviv,True
Maccabi Tel Aviv,Alashkert,1631629800,22,il ISR,AM,33-004,45,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,4a97f4c2,Avi Rikan,Maccabi Tel Aviv,False
Maccabi Tel Aviv,Alashkert,1631629800,21,il ISR,DM,34-280,67,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,0,0,ce940592,Sheran Yeini,Maccabi Tel Aviv,True
Maccabi Tel Aviv,Alashkert,1631629800,31,il ISR,DM,25-358,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3b099c65,Shahar Piven,Maccabi Tel Aviv,False
Maccabi Tel Aviv,Alashkert,1631629800,6,il ISR,DM,24-359,90,5,2,2,2,1,3,6,50.0,3,0,0,0,1,6,0,0,7566531d,Dan Glazer,Maccabi Tel Aviv,True
Maccabi Tel Aviv,Alashkert,1631629800,27,il ISR,LB,30-132,90,1,1,0,1,0,1,1,100.0,0,2,0,2,0,1,2,0,1bfdb73a,Ofir Davidzada,Maccabi Tel Aviv,True
Maccabi Tel Aviv,Alashkert,1631629800,5,il ISR,CB,24-181,90,3,0,1,2,0,2,2,100.0,0,0,0,0,3,6,0,0,f3294c3d,Idan Nachmias,Maccabi Tel Aviv,True
